State,Population
Alaska,710000
Alabama,4780000
Arkansas,2916000
Arizona,6392000
California,37254000
Colorado,5029000
Connecticut,3574000
District of Columbia,602000
Delaware,898000
Florida,18801000
Georgia,9688000
Hawaii,1360000
Iowa,3046000
Idaho,1568000
Illinois,12831000
Indiana,6484000
Kansas,2853000
Kentucky,4339000
Louisiana,4533000
Massachusetts,6548000
Maryland,5774000
Maine,1328000
Michigan,9884000
Minnesota,5304000
Missouri,5989000
Mississippi,2967000
Montana,989000
North Carolina,9535000
North Dakota,673000
Nebraska,1826000
New Hampshire,1316000
New Jersey,8792000
New Mexico,2059000
Nevada,2701000
New York,19378000
Ohio,11537000
Oklahoma,3751000
Oregon,3831000
Pennsylvania,12702000
Rhode Island,1053000
South Carolina,4625000
South Dakota,814000
Tennessee,6346000
Texas,25146000
Utah,2764000
Virginia,8001000
Vermont,626000
Washington,6725000
Wisconsin,5687000
West Virginia,1853000
Wyoming,564000
